Tarih.2020,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018,VefatSayisi2017
01.01.2020,46,56,54,50
02.01.2020,52,45,47,49
03.01.2020,44,55,49,45
04.01.2020,42,67,61,44
05.01.2020,53,50,49,52
06.01.2020,46,51,69,50
07.01.2020,35,52,53,61
08.01.2020,38,61,52,59
09.01.2020,44,55,56,52
10.01.2020,59,64,66,47
11.01.2020,45,82,58,55
12.01.2020,53,54,61,61
13.01.2020,48,60,59,61
14.01.2020,55,60,50,51
15.01.2020,50,56,59,48
16.01.2020,71,49,60,59
17.01.2020,50,65,64,57
18.01.2020,52,67,46,49
19.01.2020,49,51,52,45
20.01.2020,60,56,42,34
21.01.2020,48,64,44,55
22.01.2020,49,59,50,49
23.01.2020,61,58,52,62
24.01.2020,55,62,57,45
25.01.2020,52,69,51,58
26.01.2020,56,57,59,61
27.01.2020,63,64,37,51
28.01.2020,60,60,48,47
29.01.2020,51,64,47,48
30.01.2020,43,56,52,47
31.01.2020,34,58,77,49
01.02.2020,48,31,43,54
02.02.2020,44,54,51,60
03.02.2020,78,71,55,68
04.02.2020,57,63,51,62
05.02.2020,49,57,43,39
06.02.2020,50,66,44,47
07.02.2020,60,48,49,56
08.02.2020,31,55,45,52
09.02.2020,41,49,50,52
10.02.2020,57,54,40,39
11.02.2020,57,54,45,64
12.02.2020,45,60,66,31
13.02.2020,42,50,45,40
14.02.2020,51,50,64,42
15.02.2020,43,60,44,48
16.02.2020,48,29,42,46
17.02.2020,49,44,40,45
18.02.2020,42,44,32,44
19.02.2020,58,60,45,50
20.02.2020,51,58,53,39
21.02.2020,44,42,50,56
22.02.2020,39,41,47,65
23.02.2020,48,43,33,51
24.02.2020,52,32,47,29
25.02.2020,42,52,36,60
26.02.2020,58,40,47,46
27.02.2020,50,45,54,47
28.02.2020,51,32,44,45
01.03.2020,32,31,44,56
02.03.2020,53,46,46,30
03.03.2020,49,62,46,46
04.03.2020,66,39,40,47
05.03.2020,47,34,48,36
06.03.2020,50,50,50,53
07.03.2020,44,39,45,57
08.03.2020,46,53,61,48
09.03.2020,46,41,49,58
10.03.2020,45,26,37,42
11.03.2020,49,46,52,44
12.03.2020,50,61,57,53
13.03.2020,49,40,51,44
14.03.2020,43,47,38,51
15.03.2020,46,46,45,41
16.03.2020,58,57,39,42
17.03.2020,58,58,39,49
18.03.2020,40,38,37,58
19.03.2020,53,36,59,45
20.03.2020,56,35,52,40
21.03.2020,63,43,57,40
22.03.2020,54,53,48,47
23.03.2020,48,54,55,50
24.03.2020,38,42,36,49
25.03.2020,37,50,46,55
26.03.2020,60,45,40,31
27.03.2020,38,49,39,36
28.03.2020,56,34,53,42
29.03.2020,45,38,34,41
30.03.2020,61,39,30,33
31.03.2020,56,55,44,41
01.04.2020,55,47,32,57
02.04.2020,51,45,45,33
03.04.2020,50,47,47,57
04.04.2020,53,52,47,52
05.04.2020,44,36,43,53
06.04.2020,53,32,44,49
07.04.2020,59,45,37,43
08.04.2020,40,60,45,54
09.04.2020,47,52,34,35
10.04.2020,51,41,47,31
11.04.2020,56,37,39,43
12.04.2020,55,48,45,47
13.04.2020,60,50,46,50
14.04.2020,42,37,37,41
15.04.2020,60,46,36,52
16.04.2020,51,42,56,45
17.04.2020,46,37,58,46
18.04.2020,40,40,47,60
19.04.2020,56,42,36,37
20.04.2020,37,35,54,43
21.04.2020,39,36,43,43
22.04.2020,35,43,55,29
23.04.2020,44,38,36,58
24.04.2020,37,44,49,58
25.04.2020,53,55,59,50
26.04.2020,47,35,36,41
27.04.2020,50,46,48,44
28.04.2020,55,45,49,40
29.04.2020,38,57,39,36
30.04.2020,38,51,44,36
01.05.2020,56,41,42,34
02.05.2020,42,36,52,37
03.05.2020,41,44,52,40
04.05.2020,41,27,44,44
05.05.2020,45,41,52,49
06.05.2020,32,44,40,39
07.05.2020,56,44,42,32
08.05.2020,43,40,46,43
09.05.2020,36,34,44,44
10.05.2020,46,47,48,46
11.05.2020,33,46,39,42
12.05.2020,49,44,29,40
13.05.2020,57,41,29,48
14.05.2020,51,50,61,46
15.05.2020,40,44,41,38
16.05.2020,50,49,43,35
17.05.2020,43,42,58,53
18.05.2020,49,30,45,52
19.05.2020,60,37,56,28
20.05.2020,42,47,58,40
21.05.2020,49,36,43,39
22.05.2020,46,55,43,36
23.05.2020,43,35,40,40
24.05.2020,45,41,48,34
25.05.2020,38,41,39,49
26.05.2020,40,41,37,54
27.05.2020,37,51,40,54
28.05.2020,52,50,48,36
29.05.2020,38,50,33,42
30.05.2020,40,45,34,38
31.05.2020,52,41,47,37
01.06.2020,41,37,35,32
02.06.2020,39,50,40,46
03.06.2020,48,31,38,46
04.06.2020,50,43,39,34
05.06.2020,40,39,33,46
06.06.2020,35,43,47,27
07.06.2020,36,45,52,45
08.06.2020,57,47,42,35
09.06.2020,44,42,31,46
10.06.2020,47,52,30,36
11.06.2020,41,42,36,20
12.06.2020,39,40,40,31
13.06.2020,30,35,42,45
14.06.2020,44,30,35,49
15.06.2020,44,39,34,38
16.06.2020,53,39,46,36
17.06.2020,50,40,51,45
18.06.2020,55,44,37,38
19.06.2020,51,44,39,35
20.06.2020,50,32,52,35
21.06.2020,48,50,30,40
22.06.2020,37,32,38,40
23.06.2020,45,45,39,37
24.06.2020,56,34,31,40
25.06.2020,55,50,57,42
26.06.2020,46,38,46,31
27.06.2020,38,53,35,36
28.06.2020,29,42,46,39
29.06.2020,59,38,40,42
30.06.2020,39,25,41,62
01.07.2020,45,52,43,59
02.07.2020,63,44,45,61
03.07.2020,51,39,48,45
04.07.2020,49,39,38,60
05.07.2020,45,52,46,36
06.07.2020,49,38,33,43
07.07.2020,48,41,48,50
08.07.2020,54,37,37,37
09.07.2020,51,44,42,46
10.07.2020,66,44,40,43
11.07.2020,49,44,51,43
12.07.2020,61,32,33,47
13.07.2020,41,33,36,39
14.07.2020,45,30,42,49
15.07.2020,62,30,43,39
16.07.2020,54,31,31,42
17.07.2020,41,33,43,52
18.07.2020,49,34,38,36
19.07.2020,43,33,40,40
20.07.2020,45,41,44,37
