Tarih.2020,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018,VefatSayisi2017
01.01.2020,14,15,9,9
02.01.2020,15,20,18,12
03.01.2020,13,15,10,13
04.01.2020,9,14,15,14
05.01.2020,11,14,12,12
06.01.2020,23,16,14,9
07.01.2020,7,20,7,12
08.01.2020,16,11,16,12
09.01.2020,8,16,13,16
10.01.2020,16,12,17,12
11.01.2020,9,14,17,13
12.01.2020,15,17,16,9
13.01.2020,12,16,19,20
14.01.2020,14,13,16,6
15.01.2020,13,17,22,13
16.01.2020,15,17,13,10
17.01.2020,15,17,10,16
18.01.2020,16,12,14,9
19.01.2020,12,17,10,12
20.01.2020,16,12,14,13
21.01.2020,19,24,8,13
22.01.2020,13,14,18,13
23.01.2020,21,16,20,12
24.01.2020,15,24,14,22
25.01.2020,12,10,19,21
26.01.2020,21,17,16,16
27.01.2020,13,16,16,13
28.01.2020,17,12,14,14
29.01.2020,15,15,13,14
30.01.2020,12,12,20,16
31.01.2020,10,9,21,13
01.02.2020,11,17,11,11
02.02.2020,12,12,13,13
03.02.2020,16,13,12,20
04.02.2020,10,15,9,8
05.02.2020,9,15,12,12
06.02.2020,17,20,17,19
07.02.2020,15,11,11,9
08.02.2020,17,16,13,16
09.02.2020,10,11,11,7
10.02.2020,19,12,16,13
11.02.2020,13,18,7,15
12.02.2020,13,13,23,13
13.02.2020,11,6,11,16
14.02.2020,9,13,12,14
15.02.2020,13,10,10,12
16.02.2020,7,13,11,9
17.02.2020,20,12,7,12
18.02.2020,9,18,14,7
19.02.2020,13,15,18,7
20.02.2020,9,8,17,11
21.02.2020,10,11,5,15
22.02.2020,9,12,8,17
23.02.2020,13,11,13,10
24.02.2020,17,9,10,8
25.02.2020,16,13,11,10
26.02.2020,8,8,11,7
27.02.2020,16,14,10,9
28.02.2020,8,18,13,10
01.03.2020,13,11,10,9
02.03.2020,9,13,9,15
03.03.2020,8,8,10,9
04.03.2020,14,15,12,10
05.03.2020,4,18,12,16
06.03.2020,13,11,11,9
07.03.2020,10,15,14,13
08.03.2020,10,10,7,15
09.03.2020,9,11,10,14
10.03.2020,13,14,12,13
11.03.2020,20,14,10,7
12.03.2020,16,24,5,7
13.03.2020,12,12,12,18
14.03.2020,9,11,12,18
15.03.2020,13,18,12,13
16.03.2020,13,10,12,14
17.03.2020,8,9,11,8
18.03.2020,13,12,12,13
19.03.2020,9,9,14,7
20.03.2020,10,8,4,9
21.03.2020,15,10,11,7
22.03.2020,17,11,18,13
23.03.2020,17,11,9,9
24.03.2020,14,14,12,15
25.03.2020,11,22,6,11
26.03.2020,15,17,16,6
27.03.2020,8,13,8,17
28.03.2020,9,11,12,14
29.03.2020,17,15,18,16
30.03.2020,15,10,13,15
31.03.2020,13,12,7,16
01.04.2020,5,10,11,9
02.04.2020,7,16,12,11
03.04.2020,10,14,8,11
04.04.2020,7,13,10,10
05.04.2020,14,15,11,13
06.04.2020,22,11,21,14
07.04.2020,9,9,15,10
08.04.2020,9,21,10,14
09.04.2020,7,17,13,4
10.04.2020,19,11,18,17
11.04.2020,5,9,10,25
12.04.2020,10,13,12,8
13.04.2020,15,16,7,11
14.04.2020,14,11,8,16
15.04.2020,9,10,12,9
16.04.2020,12,14,11,5
17.04.2020,12,17,11,13
18.04.2020,10,19,8,10
19.04.2020,10,11,14,15
20.04.2020,16,15,13,15
21.04.2020,13,7,16,18
22.04.2020,14,11,17,15
23.04.2020,12,9,12,12
24.04.2020,13,9,14,13
25.04.2020,10,12,14,9
26.04.2020,4,12,10,4
27.04.2020,7,4,8,13
28.04.2020,13,14,12,11
29.04.2020,15,20,11,8
30.04.2020,11,27,15,16
01.05.2020,6,15,12,10
02.05.2020,4,15,12,15
03.05.2020,12,14,13,13
04.05.2020,15,17,8,10
05.05.2020,10,9,10,10
06.05.2020,14,12,11,14
07.05.2020,6,17,12,13
08.05.2020,8,14,17,19
09.05.2020,13,10,15,13
10.05.2020,20,17,7,16
11.05.2020,11,21,2,19
12.05.2020,8,7,11,8
13.05.2020,10,12,15,11
14.05.2020,9,14,15,6
15.05.2020,10,15,14,9
16.05.2020,13,9,16,14
17.05.2020,7,7,15,13
18.05.2020,9,13,7,17
19.05.2020,10,14,8,6
20.05.2020,14,16,15,8
21.05.2020,12,12,17,21
22.05.2020,16,17,20,22
23.05.2020,12,13,6,21
24.05.2020,11,14,9,17
25.05.2020,11,15,9,25
26.05.2020,11,12,6,13
27.05.2020,13,9,13,10
28.05.2020,12,11,21,13
29.05.2020,20,20,12,12
30.05.2020,13,9,9,15
31.05.2020,14,11,18,13
01.06.2020,13,20,13,15
02.06.2020,9,15,19,10
03.06.2020,15,13,17,20
04.06.2020,9,12,13,13
05.06.2020,14,14,13,16
06.06.2020,14,8,15,13
07.06.2020,9,13,12,17
08.06.2020,20,19,9,12
09.06.2020,11,18,13,13
10.06.2020,10,14,12,9
11.06.2020,7,13,11,6
12.06.2020,24,14,18,20
13.06.2020,13,17,17,10
14.06.2020,15,14,8,10
15.06.2020,22,13,14,15
16.06.2020,10,14,10,22
17.06.2020,14,22,7,12
18.06.2020,8,15,13,9
19.06.2020,8,19,18,20
20.06.2020,14,13,10,9
21.06.2020,17,11,15,20
22.06.2020,9,16,13,18
23.06.2020,14,18,8,11
24.06.2020,10,12,20,7
25.06.2020,22,18,16,11
26.06.2020,12,14,15,10
27.06.2020,13,21,11,10
28.06.2020,9,13,20,20
29.06.2020,16,8,18,19
30.06.2020,12,16,12,20
01.07.2020,13,12,16,12
02.07.2020,11,12,15,14
03.07.2020,13,15,10,24
04.07.2020,13,13,12,13
05.07.2020,10,16,14,16
06.07.2020,14,17,11,17
07.07.2020,16,12,8,12
08.07.2020,23,13,17,18
09.07.2020,20,14,11,11
10.07.2020,17,12,11,12
11.07.2020,10,12,24,13
12.07.2020,10,5,21,14
13.07.2020,7,7,23,21
14.07.2020,14,14,13,18
15.07.2020,11,15,14,16
16.07.2020,12,10,13,7
17.07.2020,17,20,17,14
18.07.2020,9,10,16,15
19.07.2020,10,6,9,13
20.07.2020,17,18,10,13
21.07.2020,20,15,13,16
22.07.2020,16,22,14,10
23.07.2020,17,16,16,7
24.07.2020,11,12,11,18
25.07.2020,13,13,14,10
26.07.2020,11,13,18,10
27.07.2020,18,9,25,11
28.07.2020,22,9,11,12
29.07.2020,19,19,14,17
30.07.2020,11,18,15,11
31.07.2020,27,17,17,7
01.08.2020,19,20,10,24
02.08.2020,18,12,19,16
03.08.2020,17,11,17,14
04.08.2020,15,10,8,18
05.08.2020,20,19,11,10
06.08.2020,17,12,10,7
07.08.2020,18,10,14,18
08.08.2020,15,18,19,10
09.08.2020,16,15,15,15
10.08.2020,28,13,21,13
11.08.2020,23,8,15,13
12.08.2020,20,10,12,16
