Tarih.2020,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018,VefatSayisi2017
01.01.2020,228,262,208,286
02.01.2020,210,237,243,296
03.01.2020,262,235,215,273
04.01.2020,257,246,231,278
05.01.2020,245,258,226,273
06.01.2020,264,276,221,277
07.01.2020,234,282,208,269
08.01.2020,260,285,205,274
09.01.2020,245,295,218,294
10.01.2020,253,268,235,299
11.01.2020,284,269,229,295
12.01.2020,227,272,227,266
13.01.2020,238,236,203,282
14.01.2020,272,303,200,247
15.01.2020,258,269,217,254
16.01.2020,259,306,224,263
17.01.2020,276,279,252,282
18.01.2020,266,273,239,275
19.01.2020,246,286,247,258
20.01.2020,253,265,221,262
21.01.2020,270,284,243,230
22.01.2020,245,262,237,257
23.01.2020,271,260,237,268
24.01.2020,244,294,227,261
25.01.2020,264,290,225,270
26.01.2020,258,288,229,267
27.01.2020,273,278,245,248
28.01.2020,269,282,233,229
29.01.2020,249,280,241,224
30.01.2020,226,273,202,215
31.01.2020,259,277,220,244
01.02.2020,222,255,248,211
02.02.2020,243,247,235,236
03.02.2020,243,253,241,212
04.02.2020,229,278,231,249
05.02.2020,248,239,229,227
06.02.2020,220,245,211,214
07.02.2020,230,285,229,246
08.02.2020,228,231,215,255
09.02.2020,205,244,235,224
10.02.2020,248,209,224,237
11.02.2020,241,226,196,205
12.02.2020,235,225,206,185
13.02.2020,223,239,204,246
14.02.2020,226,226,216,209
15.02.2020,217,220,202,237
16.02.2020,205,219,223,229
17.02.2020,219,214,207,212
18.02.2020,211,235,200,190
19.02.2020,235,239,216,229
20.02.2020,198,245,216,220
21.02.2020,220,235,196,229
22.02.2020,176,234,242,233
23.02.2020,195,199,205,208
24.02.2020,236,228,228,214
25.02.2020,208,230,208,203
26.02.2020,198,241,233,190
27.02.2020,246,241,221,198
28.02.2020,206,212,222,240
01.03.2020,195,224,230,203
02.03.2020,232,233,251,232
03.03.2020,209,195,231,203
04.03.2020,222,227,222,211
05.03.2020,204,216,199,187
06.03.2020,206,228,215,234
07.03.2020,193,218,202,213
08.03.2020,230,228,225,203
09.03.2020,196,212,227,213
10.03.2020,203,199,208,227
11.03.2020,224,214,217,190
12.03.2020,237,218,225,189
13.03.2020,218,190,205,211
14.03.2020,204,224,213,202
15.03.2020,207,192,194,216
16.03.2020,254,205,215,197
17.03.2020,215,211,210,236
18.03.2020,272,225,192,204
19.03.2020,266,233,220,194
20.03.2020,281,224,190,241
21.03.2020,217,201,220,230
22.03.2020,250,213,236,203
23.03.2020,250,189,190,207
24.03.2020,236,215,214,212
25.03.2020,233,198,197,210
26.03.2020,243,226,228,185
27.03.2020,274,217,203,219
28.03.2020,269,217,213,192
29.03.2020,287,242,211,211
30.03.2020,298,218,195,193
31.03.2020,294,183,161,212
01.04.2020,312,223,193,173
02.04.2020,314,198,248,231
03.04.2020,329,218,191,217
04.04.2020,327,202,213,210
05.04.2020,346,193,216,182
06.04.2020,316,191,210,209
07.04.2020,332,207,194,183
08.04.2020,341,205,200,212
09.04.2020,323,222,219,205
10.04.2020,334,196,220,243
11.04.2020,320,192,192,209
12.04.2020,291,202,223,213
13.04.2020,314,201,212,199
14.04.2020,338,198,197,226
15.04.2020,304,193,179,204
16.04.2020,293,199,198,195
17.04.2020,291,215,233,232
18.04.2020,286,195,193,188
19.04.2020,295,206,185,204
20.04.2020,296,194,204,195
21.04.2020,277,196,206,191
22.04.2020,294,205,198,201
23.04.2020,259,195,211,188
24.04.2020,308,194,215,201
25.04.2020,291,214,231,216
26.04.2020,237,198,217,180
27.04.2020,269,217,216,218
28.04.2020,273,188,180,215
29.04.2020,298,220,192,190
30.04.2020,261,230,191,209
01.05.2020,278,217,202,187
02.05.2020,233,197,183,220
03.05.2020,217,217,202,179
04.05.2020,250,214,206,188
05.05.2020,243,193,175,182
06.05.2020,259,233,215,185
07.05.2020,228,198,215,219
08.05.2020,269,175,189,189
09.05.2020,221,207,210,214
10.05.2020,224,220,189,182
11.05.2020,265,169,217,161
12.05.2020,247,214,206,207
13.05.2020,249,205,177,201
14.05.2020,201,213,202,187
15.05.2020,210,192,188,220
16.05.2020,202,202,232,190
17.05.2020,205,210,190,186
18.05.2020,231,188,196,180
19.05.2020,194,181,194,182
20.05.2020,238,190,196,194
21.05.2020,188,223,206,202
22.05.2020,216,190,220,208
23.05.2020,223,191,209,221
24.05.2020,184,220,174,197
25.05.2020,201,193,207,182
26.05.2020,191,170,205,214
27.05.2020,219,190,180,193
28.05.2020,185,200,188,188
29.05.2020,217,211,201,219
30.05.2020,174,223,155,202
31.05.2020,206,198,169,190
01.06.2020,182,204,204,179
02.06.2020,223,194,185,208
03.06.2020,223,172,165,171
04.06.2020,184,191,205,183
05.06.2020,217,219,221,172
06.06.2020,191,190,220,168
07.06.2020,209,183,189,179
08.06.2020,221,214,200,190
09.06.2020,222,182,202,178
10.06.2020,215,240,175,188
11.06.2020,219,193,174,191
12.06.2020,217,183,179,178
13.06.2020,187,177,179,198
14.06.2020,198,219,205,209
15.06.2020,198,165,188,164
16.06.2020,226,196,194,199
17.06.2020,197,232,176,177
18.06.2020,216,204,230,169
19.06.2020,181,176,215,178
20.06.2020,204,179,194,220
21.06.2020,209,174,199,166
22.06.2020,190,217,172,166
23.06.2020,215,207,212,186
24.06.2020,166,185,194,205
25.06.2020,188,194,192,203
26.06.2020,197,201,187,192
27.06.2020,212,206,188,174
28.06.2020,187,194,183,202
29.06.2020,192,203,190,212
30.06.2020,171,180,199,190
01.07.2020,200,195,175,222
02.07.2020,218,200,178,250
03.07.2020,232,215,200,261
04.07.2020,187,202,218,220
05.07.2020,201,167,197,192
06.07.2020,223,191,194,197
07.07.2020,242,178,192,198
08.07.2020,200,181,211,182
09.07.2020,183,169,207,186
10.07.2020,196,206,194,219
11.07.2020,178,172,189,196
12.07.2020,190,181,195,183
13.07.2020,191,182,202,194
14.07.2020,198,172,205,204
15.07.2020,191,191,175,193
16.07.2020,181,182,199,191
