Tarih.2020,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018,VefatSayisi2017
01.01.2020,22,15,22,13
02.01.2020,13,23,9,19
03.01.2020,17,22,13,17
04.01.2020,18,33,9,12
05.01.2020,11,26,15,19
06.01.2020,11,29,21,12
07.01.2020,25,11,10,10
08.01.2020,18,18,18,14
09.01.2020,22,19,25,15
10.01.2020,28,30,13,22
11.01.2020,16,12,12,16
12.01.2020,7,23,10,18
13.01.2020,20,14,13,10
14.01.2020,15,25,17,23
15.01.2020,17,19,15,13
16.01.2020,13,15,14,17
17.01.2020,19,22,16,15
18.01.2020,17,20,15,20
19.01.2020,16,13,18,22
20.01.2020,24,24,10,11
21.01.2020,19,27,16,18
22.01.2020,14,30,13,18
23.01.2020,18,11,13,14
24.01.2020,16,26,17,14
25.01.2020,17,23,17,18
26.01.2020,18,18,24,23
27.01.2020,22,12,19,27
28.01.2020,17,19,6,17
29.01.2020,17,21,15,16
30.01.2020,11,11,8,15
31.01.2020,22,20,8,20
01.02.2020,22,19,18,29
02.02.2020,14,14,9,19
03.02.2020,21,12,11,12
04.02.2020,11,18,9,17
05.02.2020,19,18,15,32
06.02.2020,17,16,14,14
07.02.2020,13,16,15,21
08.02.2020,13,14,16,14
09.02.2020,18,9,23,18
10.02.2020,20,21,29,22
11.02.2020,15,6,23,19
12.02.2020,14,16,20,12
13.02.2020,16,13,15,20
14.02.2020,13,17,18,24
15.02.2020,15,18,11,18
16.02.2020,12,20,9,12
17.02.2020,19,19,14,14
18.02.2020,14,21,13,23
19.02.2020,18,18,17,18
20.02.2020,10,17,11,14
21.02.2020,11,19,14,12
22.02.2020,22,26,17,15
23.02.2020,11,14,11,11
24.02.2020,17,24,13,23
25.02.2020,20,11,14,10
26.02.2020,14,10,9,15
27.02.2020,18,20,16,18
28.02.2020,12,18,17,20
01.03.2020,19,16,15,13
02.03.2020,14,19,18,17
03.03.2020,14,15,10,8
04.03.2020,15,21,20,15
05.03.2020,15,11,20,6
06.03.2020,14,9,16,20
07.03.2020,9,20,15,19
08.03.2020,11,17,16,19
09.03.2020,15,14,11,20
10.03.2020,14,11,10,18
11.03.2020,24,22,10,9
12.03.2020,14,11,13,14
13.03.2020,24,15,17,11
14.03.2020,15,17,18,26
15.03.2020,17,19,17,17
16.03.2020,20,15,10,9
17.03.2020,11,14,10,12
18.03.2020,22,16,9,11
19.03.2020,11,17,16,12
20.03.2020,14,15,16,16
21.03.2020,28,18,22,10
22.03.2020,15,11,15,12
23.03.2020,17,18,21,11
24.03.2020,9,15,21,17
25.03.2020,23,18,12,19
26.03.2020,15,16,21,22
27.03.2020,15,22,16,11
28.03.2020,20,10,14,16
29.03.2020,12,20,19,11
30.03.2020,21,14,13,14
31.03.2020,19,13,22,13
01.04.2020,11,15,20,10
02.04.2020,19,13,17,14
03.04.2020,10,13,14,12
04.04.2020,24,17,19,23
05.04.2020,17,16,18,13
06.04.2020,14,16,16,19
07.04.2020,15,12,13,9
08.04.2020,14,15,20,7
09.04.2020,25,19,15,15
10.04.2020,14,13,13,21
11.04.2020,11,22,12,15
12.04.2020,17,10,10,19
13.04.2020,15,14,17,16
14.04.2020,16,11,11,11
15.04.2020,21,14,14,13
16.04.2020,11,20,15,10
17.04.2020,19,14,18,15
18.04.2020,19,11,8,14
19.04.2020,11,14,15,11
20.04.2020,18,15,11,14
21.04.2020,22,20,14,16
22.04.2020,17,12,15,13
23.04.2020,19,15,19,10
24.04.2020,19,15,12,22
25.04.2020,12,14,14,12
26.04.2020,8,16,23,18
27.04.2020,19,19,13,10
28.04.2020,12,16,19,16
29.04.2020,15,17,12,8
30.04.2020,14,10,12,6
01.05.2020,16,18,10,13
02.05.2020,13,24,14,18
03.05.2020,20,15,11,12
04.05.2020,10,14,15,15
05.05.2020,13,10,8,13
06.05.2020,22,17,20,21
07.05.2020,12,15,20,9
08.05.2020,13,11,24,17
09.05.2020,15,17,12,25
10.05.2020,17,9,14,20
11.05.2020,17,13,10,12
12.05.2020,19,18,17,17
13.05.2020,20,8,15,11
14.05.2020,21,15,16,13
15.05.2020,13,18,17,11
16.05.2020,16,14,22,13
17.05.2020,17,21,14,17
18.05.2020,12,14,20,6
19.05.2020,24,12,13,10
20.05.2020,16,17,14,13
21.05.2020,11,18,18,8
22.05.2020,17,10,16,4
23.05.2020,21,12,22,19
24.05.2020,13,28,16,15
25.05.2020,8,15,20,19
26.05.2020,14,14,14,10
27.05.2020,18,19,19,20
28.05.2020,15,17,23,22
29.05.2020,16,15,17,11
30.05.2020,10,11,9,14
31.05.2020,13,21,24,10
01.06.2020,19,10,13,12
02.06.2020,19,18,12,15
03.06.2020,15,27,16,11
04.06.2020,19,15,14,15
05.06.2020,16,8,15,7
06.06.2020,11,12,21,18
07.06.2020,16,14,12,13
08.06.2020,13,19,10,17
09.06.2020,19,11,14,15
10.06.2020,10,13,14,13
11.06.2020,9,15,14,13
12.06.2020,14,10,11,13
13.06.2020,11,14,7,10
14.06.2020,10,11,19,10
15.06.2020,13,8,9,14
16.06.2020,13,14,14,9
17.06.2020,10,20,12,13
18.06.2020,14,12,16,12
19.06.2020,13,15,13,7
20.06.2020,12,14,21,13
21.06.2020,13,17,13,7
22.06.2020,20,13,16,10
23.06.2020,15,19,10,8
24.06.2020,18,17,11,8
25.06.2020,17,21,20,20
26.06.2020,17,18,17,12
27.06.2020,23,18,17,29
28.06.2020,22,13,14,21
29.06.2020,19,14,8,15
30.06.2020,8,16,16,15
01.07.2020,13,20,17,19
02.07.2020,24,23,16,14
03.07.2020,11,16,14,20
04.07.2020,17,11,11,26
05.07.2020,23,11,19,21
06.07.2020,22,13,23,18
07.07.2020,24,11,15,17
08.07.2020,18,18,12,14
09.07.2020,13,27,16,26
10.07.2020,10,11,8,17
11.07.2020,17,13,28,12
12.07.2020,13,11,15,19
13.07.2020,25,12,13,16
14.07.2020,19,15,22,15
15.07.2020,14,15,16,16
16.07.2020,13,14,19,16
17.07.2020,21,12,10,10
18.07.2020,15,15,11,17
19.07.2020,19,13,14,14
20.07.2020,20,20,9,21
21.07.2020,19,17,14,11
22.07.2020,16,20,15,16
23.07.2020,20,14,26,11
24.07.2020,23,21,19,9
25.07.2020,24,8,13,11
26.07.2020,22,14,16,17
27.07.2020,17,11,17,15
28.07.2020,25,15,9,19
29.07.2020,20,9,13,10
30.07.2020,20,14,17,16
31.07.2020,16,27,13,20
01.08.2020,20,14,18,18
02.08.2020,26,12,13,17
03.08.2020,27,20,22,16
04.08.2020,27,11,17,16
05.08.2020,21,18,12,9
06.08.2020,28,8,21,7
07.08.2020,20,9,8,17
08.08.2020,15,11,12,14
09.08.2020,26,18,16,11
10.08.2020,22,18,17,15
11.08.2020,22,13,14,15
12.08.2020,25,16,13,14
13.08.2020,18,22,19,7
14.08.2020,16,11,12,19
15.08.2020,16,15,8,13
16.08.2020,14,17,18,16
17.08.2020,25,21,15,14
18.08.2020,17,13,15,10
19.08.2020,20,21,17,14
20.08.2020,25,7,13,12
21.08.2020,26,19,10,10
22.08.2020,14,12,9,15
23.08.2020,22,15,12,14
24.08.2020,23,12,16,11
25.08.2020,21,9,20,17
26.08.2020,20,14,22,12
27.08.2020,26,14,12,12
28.08.2020,21,13,13,15
29.08.2020,21,14,24,9
30.08.2020,20,9,15,20
31.08.2020,17,11,7,18
01.09.2020,22,24,7,13
02.09.2020,27,16,11,23
03.09.2020,21,19,18,14
04.09.2020,20,16,17,16
05.09.2020,32,15,8,16
06.09.2020,24,13,19,23
07.09.2020,22,16,12,11
08.09.2020,17,17,8,15
09.09.2020,22,16,17,12
10.09.2020,24,15,17,21
11.09.2020,28,13,11,16
12.09.2020,24,18,18,17
13.09.2020,17,9,16,14
14.09.2020,24,12,18,17
15.09.2020,25,13,14,21
16.09.2020,24,19,15,8
17.09.2020,18,10,20,5
18.09.2020,20,14,25,13
19.09.2020,25,12,18,14
20.09.2020,24,14,15,20
21.09.2020,31,16,15,18
22.09.2020,24,5,16,14
23.09.2020,22,14,15,17
24.09.2020,19,14,17,13
25.09.2020,24,9,15,11
26.09.2020,19,12,10,12
27.09.2020,40,9,16,20
28.09.2020,30,19,13,10
29.09.2020,28,14,12,17
30.09.2020,26,21,11,18
01.10.2020,11,14,12,5
02.10.2020,18,17,17,8
03.10.2020,29,18,10,11
04.10.2020,20,13,10,21
05.10.2020,23,16,10,17
06.10.2020,31,10,15,9
07.10.2020,30,13,17,22
08.10.2020,19,17,11,10
09.10.2020,25,12,17,18
10.10.2020,28,10,20,10
11.10.2020,24,14,16,12
12.10.2020,29,15,14,16
13.10.2020,22,12,7,18
14.10.2020,19,17,21,16
15.10.2020,15,19,18,17
16.10.2020,19,16,13,9
17.10.2020,8,18,25,12
18.10.2020,20,15,11,9
19.10.2020,32,14,8,12
20.10.2020,23,11,10,10
21.10.2020,21,15,17,7
22.10.2020,21,18,12,15
23.10.2020,27,15,17,15
24.10.2020,24,14,22,16
25.10.2020,31,11,12,17
26.10.2020,28,10,17,17
27.10.2020,33,17,10,13
28.10.2020,21,14,15,13
29.10.2020,26,15,17,17
30.10.2020,31,10,13,19
31.10.2020,27,11,21,18
01.11.2020,27,16,18,16
02.11.2020,28,10,14,6
03.11.2020,28,16,12,17
04.11.2020,23,12,15,15
05.11.2020,29,18,22,15
06.11.2020,32,11,18,10
07.11.2020,31,17,13,14
08.11.2020,24,18,15,12
09.11.2020,40,11,11,15
10.11.2020,37,22,15,24
11.11.2020,42,13,13,14
12.11.2020,29,18,11,12
13.11.2020,35,27,14,7
14.11.2020,41,19,21,14
15.11.2020,42,17,14,17
16.11.2020,50,16,14,12
17.11.2020,49,16,17,15
18.11.2020,36,13,7,20
19.11.2020,43,16,18,10
20.11.2020,55,6,24,12
21.11.2020,43,16,10,17
22.11.2020,49,16,17,13
23.11.2020,53,16,19,13
24.11.2020,35,15,12,11
25.11.2020,43,24,20,15
26.11.2020,51,23,14,16
27.11.2020,38,9,14,12
28.11.2020,48,9,16,18
29.11.2020,36,15,11,11
30.11.2020,29,7,12,15
01.12.2020,41,20,15,10
02.12.2020,58,8,9,13
03.12.2020,33,20,21,11
04.12.2020,42,12,13,14
05.12.2020,30,13,10,19
06.12.2020,32,14,26,11
07.12.2020,30,12,15,11
08.12.2020,39,19,16,15
09.12.2020,51,14,13,17
10.12.2020,26,13,16,9
11.12.2020,43,24,15,17
12.12.2020,42,24,14,14
13.12.2020,30,12,17,11
14.12.2020,37,16,10,14
15.12.2020,35,14,14,14
16.12.2020,40,25,18,16
17.12.2020,40,15,11,12
18.12.2020,35,11,21,12
19.12.2020,33,18,16,13
20.12.2020,28,25,13,17
21.12.2020,37,11,16,16
22.12.2020,36,24,17,11
23.12.2020,32,12,15,12
24.12.2020,31,23,19,13
25.12.2020,26,21,16,10
26.12.2020,24,20,14,8
27.12.2020,17,16,14,14
28.12.2020,22,21,21,15
29.12.2020,26,13,11,16
30.12.2020,24,18,26,16
31.12.2020,22,17,19,11
01.01.2021,18,22,15,22
02.01.2021,13,13,23,9
03.01.2021,23,17,22,13
04.01.2021,27,18,33,9
05.01.2021,25,11,26,15
06.01.2021,26,11,29,21
07.01.2021,19,25,11,10
08.01.2021,20,18,18,18
