Tarih.2020,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018,VefatSayisi2017
01.01.2020,11,11,7,7
02.01.2020,10,12,9,8
03.01.2020,7,15,8,10
04.01.2020,8,10,8,12
05.01.2020,17,5,6,11
06.01.2020,8,11,6,9
07.01.2020,16,11,18,9
08.01.2020,10,16,9,9
09.01.2020,9,11,5,10
10.01.2020,11,11,11,12
11.01.2020,10,4,14,13
12.01.2020,9,9,7,15
13.01.2020,9,6,9,9
14.01.2020,14,13,15,5
15.01.2020,12,14,9,12
16.01.2020,10,15,12,8
17.01.2020,12,8,12,13
18.01.2020,7,10,13,12
19.01.2020,17,8,10,7
20.01.2020,11,12,11,13
21.01.2020,17,11,6,9
22.01.2020,13,7,12,14
23.01.2020,12,6,9,8
24.01.2020,9,10,4,14
25.01.2020,8,9,9,13
26.01.2020,4,9,5,8
27.01.2020,13,5,9,9
28.01.2020,13,10,12,10
29.01.2020,10,13,10,13
30.01.2020,12,18,10,16
31.01.2020,12,15,12,16
01.02.2020,5,18,10,7
02.02.2020,14,9,8,11
03.02.2020,12,11,11,13
04.02.2020,7,10,9,14
05.02.2020,14,13,9,6
06.02.2020,17,10,13,7
07.02.2020,14,10,8,16
08.02.2020,7,14,6,9
09.02.2020,15,14,7,12
10.02.2020,12,4,8,10
11.02.2020,8,10,7,13
12.02.2020,8,11,10,12
13.02.2020,12,16,9,11
14.02.2020,11,18,17,10
15.02.2020,5,20,7,7
16.02.2020,9,9,8,12
17.02.2020,15,3,8,11
18.02.2020,13,7,12,7
19.02.2020,9,4,12,6
20.02.2020,8,8,5,8
21.02.2020,7,5,14,11
22.02.2020,8,6,14,12
23.02.2020,7,11,7,8
24.02.2020,9,8,7,10
25.02.2020,15,11,6,15
26.02.2020,7,15,10,10
27.02.2020,11,8,12,11
28.02.2020,9,8,9,12
01.03.2020,13,9,13,5
02.03.2020,9,12,11,15
03.03.2020,7,11,10,3
04.03.2020,8,8,10,11
05.03.2020,14,18,7,9
06.03.2020,7,8,17,11
07.03.2020,14,4,5,13
08.03.2020,11,8,2,8
09.03.2020,6,11,12,15
10.03.2020,11,12,6,13
11.03.2020,9,8,6,10
12.03.2020,9,10,13,11
13.03.2020,8,5,4,8
14.03.2020,7,11,6,12
15.03.2020,15,12,9,10
16.03.2020,8,12,6,10
17.03.2020,11,14,9,9
18.03.2020,14,7,12,6
19.03.2020,9,5,12,19
20.03.2020,16,9,7,6
21.03.2020,7,9,4,15
22.03.2020,9,8,6,13
23.03.2020,19,9,10,10
24.03.2020,12,7,5,12
25.03.2020,8,4,8,7
26.03.2020,9,8,9,10
27.03.2020,20,6,12,10
28.03.2020,9,7,6,10
29.03.2020,13,5,9,8
30.03.2020,6,8,10,6
31.03.2020,13,10,9,6
01.04.2020,6,15,11,10
02.04.2020,14,12,9,6
03.04.2020,5,7,12,5
04.04.2020,9,8,5,7
05.04.2020,8,6,3,8
06.04.2020,10,11,15,12
07.04.2020,10,4,4,18
08.04.2020,7,9,5,10
09.04.2020,8,8,10,7
10.04.2020,6,8,8,10
11.04.2020,12,6,7,5
12.04.2020,12,9,12,10
13.04.2020,13,11,4,5
14.04.2020,6,9,9,3
15.04.2020,12,6,12,6
16.04.2020,12,11,7,7
17.04.2020,16,8,15,12
18.04.2020,11,6,6,16
19.04.2020,12,10,8,4
20.04.2020,11,14,10,9
21.04.2020,13,12,12,8
22.04.2020,15,5,6,9
23.04.2020,11,6,16,8
24.04.2020,12,10,6,5
25.04.2020,7,7,11,10
26.04.2020,5,10,8,8
27.04.2020,7,15,12,10
28.04.2020,8,12,9,11
29.04.2020,9,8,16,8
30.04.2020,10,6,7,10
01.05.2020,5,9,7,5
02.05.2020,7,17,6,10
03.05.2020,7,6,14,11
04.05.2020,9,12,8,11
05.05.2020,10,10,7,12
06.05.2020,5,6,9,9
07.05.2020,7,6,7,8
08.05.2020,8,12,6,3
09.05.2020,8,9,8,8
10.05.2020,10,4,11,10
11.05.2020,11,11,5,8
12.05.2020,4,10,7,14
13.05.2020,14,11,5,9
14.05.2020,8,7,10,14
15.05.2020,11,12,8,8
16.05.2020,8,16,8,13
17.05.2020,6,8,12,10
18.05.2020,15,10,11,9
19.05.2020,12,6,12,9
20.05.2020,4,9,6,11
21.05.2020,6,12,8,16
22.05.2020,4,7,10,10
23.05.2020,9,13,4,9
24.05.2020,9,11,8,9
25.05.2020,8,5,12,8
26.05.2020,6,7,8,17
27.05.2020,10,6,4,7
28.05.2020,8,8,13,6
29.05.2020,7,12,7,11
30.05.2020,4,9,13,15
31.05.2020,10,11,8,7
01.06.2020,10,13,11,11
02.06.2020,8,7,10,13
03.06.2020,12,8,13,14
04.06.2020,6,6,9,10
05.06.2020,5,18,6,6
06.06.2020,10,8,9,4
07.06.2020,8,10,12,7
08.06.2020,5,7,7,8
09.06.2020,9,10,5,2
10.06.2020,8,14,10,9
11.06.2020,9,11,10,5
12.06.2020,9,5,6,3
13.06.2020,7,11,9,8
14.06.2020,7,8,4,11
15.06.2020,8,10,9,8
16.06.2020,2,5,10,5
17.06.2020,10,11,14,7
18.06.2020,9,9,5,5
19.06.2020,4,7,14,11
20.06.2020,8,6,6,8
21.06.2020,7,11,15,7
22.06.2020,5,7,9,9
23.06.2020,11,7,10,2
24.06.2020,8,21,9,13
25.06.2020,10,8,9,10
26.06.2020,9,6,5,7
27.06.2020,6,11,6,7
28.06.2020,5,7,4,13
29.06.2020,5,9,5,17
30.06.2020,11,8,8,15
01.07.2020,8,11,10,8
02.07.2020,7,9,11,12
03.07.2020,13,12,9,12
04.07.2020,9,10,9,14
05.07.2020,17,7,11,16
06.07.2020,6,6,10,10
07.07.2020,11,6,6,7
08.07.2020,7,8,12,14
09.07.2020,15,10,7,16
10.07.2020,10,5,4,11
11.07.2020,8,10,7,6
12.07.2020,15,6,14,10
13.07.2020,16,6,11,10
14.07.2020,14,6,10,14
15.07.2020,8,7,7,9
16.07.2020,7,10,10,9
17.07.2020,10,10,14,8
18.07.2020,15,11,9,6
19.07.2020,8,4,8,8
20.07.2020,12,10,7,7
21.07.2020,11,10,6,6
22.07.2020,13,6,4,11
23.07.2020,12,8,6,6
24.07.2020,10,8,7,8
25.07.2020,12,11,11,6
26.07.2020,11,9,15,7
27.07.2020,13,8,5,5
28.07.2020,8,12,8,8
29.07.2020,12,6,13,7
30.07.2020,10,12,13,5
31.07.2020,16,10,11,10
01.08.2020,11,9,16,13
02.08.2020,14,16,11,5
03.08.2020,9,10,7,13
04.08.2020,13,12,7,13
05.08.2020,9,11,12,9
06.08.2020,18,10,8,11
07.08.2020,13,9,14,9
08.08.2020,17,9,11,8
09.08.2020,15,9,12,8
10.08.2020,13,12,8,9
11.08.2020,10,8,7,9
12.08.2020,16,9,9,8
13.08.2020,18,18,5,9
14.08.2020,10,10,12,11
15.08.2020,11,14,10,7
16.08.2020,19,7,4,6
17.08.2020,23,10,6,8
18.08.2020,10,8,9,14
19.08.2020,21,7,7,14
20.08.2020,24,4,11,13
21.08.2020,11,5,10,11
22.08.2020,10,8,6,13
23.08.2020,27,6,11,13
24.08.2020,20,7,14,8
25.08.2020,20,8,15,5
26.08.2020,18,7,15,12
27.08.2020,23,12,17,7
28.08.2020,19,7,8,8
29.08.2020,22,10,12,14
30.08.2020,18,11,11,11
31.08.2020,17,7,8,4
01.09.2020,13,8,3,6
02.09.2020,23,9,11,14
03.09.2020,22,11,9,9
04.09.2020,25,13,6,10
05.09.2020,26,10,9,17
06.09.2020,30,12,8,8
07.09.2020,35,7,12,5
08.09.2020,24,11,12,14
09.09.2020,19,12,10,10
10.09.2020,31,11,11,11
11.09.2020,27,8,8,10
12.09.2020,12,3,6,12
13.09.2020,18,8,7,3
14.09.2020,31,6,6,4
15.09.2020,30,16,14,11
16.09.2020,22,7,11,16
17.09.2020,19,12,12,15
18.09.2020,26,4,7,7
19.09.2020,26,6,7,7
20.09.2020,22,7,5,9
21.09.2020,32,10,14,9
22.09.2020,16,6,9,4
23.09.2020,18,13,4,8
24.09.2020,10,7,7,4
25.09.2020,25,12,9,2
26.09.2020,23,6,7,15
27.09.2020,24,6,9,7
28.09.2020,12,12,7,3
29.09.2020,9,14,8,12
30.09.2020,19,3,12,10
01.10.2020,18,8,6,10
02.10.2020,21,8,12,10
03.10.2020,27,12,7,8
04.10.2020,15,14,6,6
05.10.2020,14,18,8,9
06.10.2020,13,7,4,12
07.10.2020,19,10,10,6
08.10.2020,14,6,10,10
09.10.2020,12,10,12,7
10.10.2020,20,6,8,8
11.10.2020,16,5,8,8
12.10.2020,18,6,3,10
13.10.2020,13,6,7,8
14.10.2020,11,8,13,7
15.10.2020,26,11,6,11
16.10.2020,16,9,11,8
17.10.2020,15,10,12,8
18.10.2020,23,16,9,9
19.10.2020,16,11,6,8
20.10.2020,18,9,6,9
21.10.2020,13,7,8,12
22.10.2020,14,13,13,10
23.10.2020,23,4,5,6
24.10.2020,14,7,8,7
25.10.2020,18,9,17,12
26.10.2020,16,6,7,7
27.10.2020,14,13,6,8
28.10.2020,21,8,7,6
29.10.2020,19,13,11,11
30.10.2020,24,6,8,6
31.10.2020,12,7,7,6
01.11.2020,19,8,9,5
02.11.2020,21,4,13,14
03.11.2020,18,11,10,9
04.11.2020,10,6,9,4
05.11.2020,17,8,11,9
06.11.2020,23,5,9,9
07.11.2020,16,12,10,10
08.11.2020,16,8,2,14
09.11.2020,12,8,8,13
10.11.2020,12,6,17,9
11.11.2020,13,10,12,8
12.11.2020,20,9,10,12
13.11.2020,28,10,11,12
14.11.2020,12,9,9,7
15.11.2020,21,7,10,7
16.11.2020,14,13,7,10
