Tarih.2020,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018
01.01.2020,6,7,2
02.01.2020,7,6,3
03.01.2020,4,3,1
04.01.2020,5,2,2
05.01.2020,3,1,1
06.01.2020,5,1,3
07.01.2020,6,5,1
08.01.2020,4,5,3
09.01.2020,7,10,0,1
10.01.2020,5,6,3,1
11.01.2020,8,10,3,0
12.01.2020,6,6,4,0
13.01.2020,6,5,1,3
14.01.2020,3,5,3,1
15.01.2020,7,3,4,0
16.01.2020,10,7,3,1
17.01.2020,4,9,2,0
18.01.2020,3,5,4,0
19.01.2020,10,5,1,0
20.01.2020,6,6,1,0
21.01.2020,3,7,2,1
22.01.2020,4,10,1,2
23.01.2020,4,10,1,0
24.01.2020,3,5,2,0
25.01.2020,3,3,2,0
26.01.2020,5,5,4,1
27.01.2020,5,10,2,0
28.01.2020,4,5,3,0
29.01.2020,8,6,2,1
30.01.2020,3,7,4,1
31.01.2020,3,9,1,0
01.02.2020,4,3,3,1
02.02.2020,5,3,3,1
03.02.2020,6,6,4,1
04.02.2020,9,5,1,2
05.02.2020,5,8,4,0
06.02.2020,6,9,1,0
07.02.2020,2,5,2,0
08.02.2020,6,6,3,3
09.02.2020,6,3,1,0
10.02.2020,6,7,4,0
11.02.2020,3,2,1,1
12.02.2020,7,5,1,0
13.02.2020,7,2,3,1
14.02.2020,3,2,3,0
15.02.2020,8,4,1,0
16.02.2020,2,10,2,1
17.02.2020,6,5,4,0
18.02.2020,2,6,1,1
19.02.2020,2,6,1,0
20.02.2020,5,2,3,1
21.02.2020,4,9,5,0
22.02.2020,1,2,0,0
23.02.2020,3,4,5,0
24.02.2020,3,2,2,0
25.02.2020,2,2,0,0
26.02.2020,8,1,3,0
27.02.2020,2,6,5,1
28.02.2020,5,9,1,1
01.03.2020,1,5,0,1
02.03.2020,7,1,4,0
03.03.2020,5,4,3,0
04.03.2020,3,4,2,0
05.03.2020,2,5,0,1
06.03.2020,3,8,4,0
07.03.2020,4,2,2,0
08.03.2020,4,2,4,1
09.03.2020,5,4,2,0
10.03.2020,3,2,0,0
11.03.2020,2,5,3,0
12.03.2020,1,2,2,0
13.03.2020,3,5,2,0
14.03.2020,3,1,2,0
15.03.2020,8,5,0,0
16.03.2020,6,4,2,0
17.03.2020,3,3,3,1
18.03.2020,3,2,1,1
19.03.2020,5,5,1,0
20.03.2020,3,2,1,0
21.03.2020,6,1,2,2
22.03.2020,8,7,2,0
23.03.2020,6,2,3,1
24.03.2020,4,5,2,0
25.03.2020,11,1,1,0
26.03.2020,6,7,8,0
27.03.2020,5,5,3,0
28.03.2020,8,2,1,0
29.03.2020,4,3,3,1
30.03.2020,5,1,4,0
31.03.2020,5,5,2,0
01.04.2020,3,3,3,0
02.04.2020,7,7,2,0
03.04.2020,9,2,4,1
04.04.2020,8,1,2,0
05.04.2020,6,3,1,2
06.04.2020,2,6,2,0
07.04.2020,4,3,0,0
08.04.2020,3,6,4,1
09.04.2020,8,4,2,1
10.04.2020,8,5,2,1
11.04.2020,8,6,1,0
12.04.2020,2,8,1,0
13.04.2020,5,3,1,1
14.04.2020,4,1,2,1
15.04.2020,4,1,2,1
16.04.2020,3,5,3,1
17.04.2020,8,3,3,0
18.04.2020,5,10,3,0
19.04.2020,5,5,4,0
20.04.2020,5,9,2,0
21.04.2020,6,4,4,0
22.04.2020,3,2,0,0
23.04.2020,5,2,1,3
24.04.2020,3,5,3,0
25.04.2020,4,9,0,0
26.04.2020,3,5,3,0
27.04.2020,4,3,2,0
28.04.2020,3,3,2,1
29.04.2020,6,3,1,0
30.04.2020,3,5,4,1
01.05.2020,2,0,1,0
02.05.2020,9,5,4,0
03.05.2020,5,5,2,0
04.05.2020,6,4,3,1
05.05.2020,7,6,1,0
06.05.2020,3,4,1,0
07.05.2020,4,3,1,0
08.05.2020,4,3,0,1
09.05.2020,8,3,2,1
10.05.2020,1,4,1,1
11.05.2020,1,3,2,0
12.05.2020,9,3,3,0
13.05.2020,5,3,2,1
14.05.2020,5,2,0,0
15.05.2020,3,7,1,1
16.05.2020,4,4,0,0
17.05.2020,4,9,3,0
18.05.2020,7,6,7,0
19.05.2020,4,5,3,0
20.05.2020,2,6,2,0
21.05.2020,3,3,3,0
22.05.2020,5,4,4,0
23.05.2020,2,2,2,0
24.05.2020,4,7,0,2
25.05.2020,5,3,1,0
26.05.2020,5,5,3,0
27.05.2020,8,3,2,0
28.05.2020,2,2,3,0
29.05.2020,3,1,3,2
30.05.2020,5,3,4,1
31.05.2020,4,3,0,1
01.06.2020,3,2,6,1
02.06.2020,3,2,2,0
03.06.2020,3,3,4,0
04.06.2020,3,3,2,0
05.06.2020,2,3,2,1
06.06.2020,3,5,0,0
07.06.2020,6,3,3,1
08.06.2020,8,5,0,0
09.06.2020,4,7,1,0
10.06.2020,5,6,3,1
11.06.2020,10,7,1,1
12.06.2020,3,3,3,3
13.06.2020,3,1,4,0
14.06.2020,3,3,4,0
15.06.2020,3,5,2,1
16.06.2020,1,5,2,1
17.06.2020,5,6,2,1
18.06.2020,4,2,2,2
19.06.2020,6,3,0,1
20.06.2020,3,4,1,3
21.06.2020,2,3,4,2
22.06.2020,13,3,3,2
23.06.2020,6,3,3,4
24.06.2020,2,0,1,4
25.06.2020,4,6,2,0
26.06.2020,3,3,5,1
27.06.2020,2,3,3,1
28.06.2020,6,5,0,1
29.06.2020,0,7,0,2
30.06.2020,4,3,3,0
01.07.2020,7,3,1,3
02.07.2020,9,2,0,3
03.07.2020,4,12,4,7
04.07.2020,7,5,0,2
05.07.2020,2,5,3,0
06.07.2020,4,1,5,0
07.07.2020,6,6,3,2
08.07.2020,2,3,3,4
09.07.2020,5,4,7,3
10.07.2020,3,5,7,4
11.07.2020,5,5,3,5
12.07.2020,4,5,1,1
13.07.2020,5,3,3,0
14.07.2020,7,2,3,1
15.07.2020,8,3,3,3
16.07.2020,7,6,4,0
17.07.2020,8,2,1,3
18.07.2020,0,1,0,3
19.07.2020,5,3,11,1
20.07.2020,5,5,3,3
21.07.2020,1,6,5,1
22.07.2020,2,7,2,0
23.07.2020,4,6,7,2
24.07.2020,2,2,4,2
25.07.2020,2,3,3,3
26.07.2020,6,4,6,1
27.07.2020,3,3,8,2
28.07.2020,3,3,4,1
29.07.2020,2,3,3,1
30.07.2020,4,2,5,0
31.07.2020,3,6,6,1
01.08.2020,8,3,4,2
02.08.2020,2,3,4,2
03.08.2020,3,3,2,2
04.08.2020,5,3,2,1
05.08.2020,6,4,4,1
06.08.2020,4,5,4,2
07.08.2020,2,6,6,4
08.08.2020,4,3,3,0
09.08.2020,6,1,2,1
10.08.2020,6,8,5,1
11.08.2020,5,0,4,1
12.08.2020,5,2,3,1
13.08.2020,2,2,7,2
14.08.2020,4,3,3,2
15.08.2020,4,9,5,1
16.08.2020,5,5,5,3
17.08.2020,2,5,3,2
18.08.2020,4,4,4,1
19.08.2020,2,6,2,0
20.08.2020,7,5,3,0
21.08.2020,3,2,7,0
22.08.2020,4,1,3,1
23.08.2020,2,4,0,0
24.08.2020,3,3,5,1
25.08.2020,8,3,4,2
26.08.2020,8,4,3,0
27.08.2020,5,7,5,0
28.08.2020,4,3,4,1
29.08.2020,7,3,2,1
30.08.2020,6,1,4,1
31.08.2020,7,3,7,3
01.09.2020,1,7,5,1
02.09.2020,4,3,9,1
03.09.2020,1,4,6,3
04.09.2020,2,4,2,0
05.09.2020,4,1,2,2
06.09.2020,2,3,3,2
07.09.2020,3,3,6,1
08.09.2020,1,7,3,1
09.09.2020,2,3,7,3
10.09.2020,1,5,6,1
11.09.2020,0,7,4,0
12.09.2020,0,3,4,3
13.09.2020,1,3,7,0
14.09.2020,2,4,3,0
15.09.2020,4,4,5,1
16.09.2020,1,1,1,0
17.09.2020,4,1,6,1
18.09.2020,4,5,4,1
19.09.2020,0,5,1,2
20.09.2020,3,6,5,2
21.09.2020,6,2,7,3
22.09.2020,1,3,3,1
23.09.2020,2,6,2,2
24.09.2020,1,6,4,0
25.09.2020,4,3,3,0
26.09.2020,5,4,2,2
27.09.2020,5,9,3,4
28.09.2020,4,4,4,4
29.09.2020,3,3,1,1
30.09.2020,7,8,2,3
01.10.2020,1,4,6,3
02.10.2020,3,6,5,0
03.10.2020,3,5,4,2
04.10.2020,3,10,8,0
05.10.2020,3,3,4,1
06.10.2020,2,4,2,4
07.10.2020,5,4,4,1
08.10.2020,2,3,7,4
09.10.2020,0,7,5,4
10.10.2020,0,4,5,3
11.10.2020,5,2,2,2
12.10.2020,4,2,3,0
